,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,32,0.345850984133,0.145
1,crap,really_long,3,0.868101376568,0.84
1,fg,long,32,0.435393778017,0.1125
1,fg,really_long,2,0.11313708499,0.08
1,goaline,long,8,2.2582926547,1.62
1,goaline,medium,5,1.8782971011,0.84
1,goaline,short,5,2.23488702175,1.632
1,midfield,long,218,1.03208958535,0.320550458716
1,midfield,medium,2,0.254558441227,0.14
1,midfield,really_long,9,1.8459445038,0.848888888889
1,redzone,long,23,1.89877430821,1.14434782609
1,redzone,medium,1,,0.0
1,redzone,really_long,2,3.30925973595,2.18
1,touchback,long,96,0.464656636102,0.29125
1,touchback,medium,1,,0.28
1,touchback,really_long,4,0.327210431782,0.15
2,crap,long,27,0.471583378832,0.362962962963
2,crap,medium,3,0.184752086141,0.106666666667
2,crap,really_long,10,2.43467177802,0.764
2,fg,long,21,1.06968976366,0.504761904762
2,fg,medium,6,2.02439785286,0.953333333333
2,fg,really_long,8,0.428918906754,0.395
2,fg,short,2,0.141421356237,0.1
2,goaline,long,9,1.44731168416,0.551111111111
2,goaline,medium,7,2.10845011911,1.23428571429
2,goaline,short,9,1.57111425428,0.266666666667
2,midfield,long,102,0.795379493165,0.208235294118
2,midfield,medium,42,0.365424355168,0.273333333333
2,midfield,really_long,29,0.532046888559,0.188965517241
2,midfield,short,15,0.63782965333,0.101333333333
2,redzone,long,11,1.34602444933,0.527272727273
2,redzone,medium,5,2.00471444351,0.936
2,redzone,really_long,7,0.794265159035,-0.217142857143
2,redzone,short,1,,0.28
2,touchback,long,40,0.627825714833,0.287
2,touchback,medium,10,0.24,0.28
2,touchback,really_long,15,1.78712005619,0.605333333333
2,touchback,short,4,0.227156333832,0.17
3,crap,long,12,0.284445233585,0.23
3,crap,medium,7,0.223734536577,0.217142857143
3,crap,really_long,5,1.11484528075,-0.104
3,crap,short,1,,0.4
3,fg,long,9,0.208806130178,0.146666666667
3,fg,medium,5,0.230477764654,0.288
3,fg,really_long,5,0.227332355814,0.144
3,fg,short,6,0.970498153871,-0.106666666667
3,goaline,long,6,1.73037182902,0.753333333333
3,goaline,medium,11,2.18513989567,1.90181818182
3,goaline,short,8,2.12408635821,2.565
3,midfield,long,61,0.605150209416,0.176393442623
3,midfield,medium,47,0.879314340568,0.383829787234
3,midfield,really_long,28,1.14094085375,0.381428571429
3,midfield,short,40,0.45343136195,0.13
3,redzone,long,5,1.98562836402,0.888
3,redzone,medium,7,1.71873707787,0.662857142857
3,redzone,really_long,4,0.0,0.0
3,redzone,short,7,2.17190721542,1.49142857143
3,touchback,long,23,0.580385588062,0.102608695652
3,touchback,medium,8,0.757872963346,-0.165
3,touchback,really_long,13,0.284505869436,0.224615384615
3,touchback,short,4,0.191833260933,0.38
4,fg,really_long,1,,0.0
4,goaline,short,2,2.91327993849,2.06
4,midfield,long,2,0.0,0.0
4,midfield,medium,3,0.808290376865,0.466666666667
4,midfield,short,7,0.0907114735222,0.0342857142857
