,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,43,0.444897738571,0.333953488372
1,crap,medium,1,,0.28
1,crap,really_long,11,0.39284510017,0.294545454545
1,fg,long,36,1.5128365033,0.496666666667
1,fg,really_long,4,0.14236104336,0.12
1,goaline,long,6,1.76207453494,0.766666666667
1,goaline,medium,10,2.02888036995,1.26
1,goaline,short,7,1.99083614882,1.16571428571
1,midfield,long,246,0.631634139156,0.261788617886
1,midfield,medium,1,,0.0
1,midfield,really_long,11,0.358866903664,0.243636363636
1,redzone,long,26,1.80023383097,0.624615384615
1,redzone,really_long,1,,0.16
1,touchback,long,118,0.82965191174,0.364406779661
1,touchback,really_long,3,0.197315314493,0.226666666667
2,crap,long,19,0.632462929131,0.187368421053
2,crap,medium,7,0.648690989609,0.4
2,crap,really_long,17,0.376860092623,0.298823529412
2,crap,short,3,0.554256258422,0.32
2,fg,long,20,1.78671118038,0.86
2,fg,medium,8,1.65380081717,0.905
2,fg,really_long,10,1.51096731342,0.72
2,fg,short,6,0.157987341265,0.12
2,goaline,long,9,2.27042825133,1.93777777778
2,goaline,medium,14,1.5253347678,0.6
2,goaline,short,5,1.80674292582,0.808
2,midfield,long,105,0.620805809799,0.267047619048
2,midfield,medium,41,0.354992270613,0.268292682927
2,midfield,really_long,51,0.254280993252,0.171764705882
2,midfield,short,28,1.28848707475,0.517142857143
2,redzone,long,18,2.1997753896,1.60666666667
2,redzone,medium,3,0.0,0.0
2,redzone,really_long,5,0.14254823745,0.232
2,redzone,short,1,,0.0
2,touchback,long,43,1.19280381974,0.28
2,touchback,medium,16,0.61238332222,0.125
2,touchback,really_long,10,0.249764333367,0.196
2,touchback,short,3,0.30550504633,0.413333333333
3,crap,long,8,0.516222543372,0.575
3,crap,medium,9,0.270390663876,0.271111111111
3,crap,really_long,10,2.25401961936,1.024
3,crap,short,4,0.0923760430703,0.08
3,fg,long,11,0.23596609926,0.2
3,fg,medium,9,0.203415284032,0.155555555556
3,fg,really_long,8,0.243779760088,0.26
3,fg,short,4,0.115470053838,0.1
3,goaline,long,5,0.0,0.0
3,goaline,medium,13,2.2367558926,1.17538461538
3,goaline,short,10,1.48524595793,0.22
3,midfield,long,76,0.755908283678,0.33
3,midfield,medium,44,0.416659422065,0.283636363636
3,midfield,really_long,35,1.1348499327,0.235428571429
3,midfield,short,45,0.48287020654,0.2
3,redzone,long,12,1.35615767386,0.53
3,redzone,medium,8,1.63336637479,0.6
3,redzone,really_long,2,3.36582827845,2.38
3,redzone,short,6,0.0993310961717,0.0733333333333
3,touchback,long,27,0.374412360085,0.24
3,touchback,medium,13,2.00455379011,0.507692307692
3,touchback,really_long,8,0.274174084427,0.315
3,touchback,short,9,0.439292360254,0.315555555556
4,fg,medium,3,1.40418422343,-0.386666666667
4,fg,short,3,0.571780843797,0.493333333333
4,goaline,medium,1,,4.36
4,goaline,short,2,2.88499566724,2.04
4,midfield,long,1,,0.48
4,midfield,medium,1,,-2.0
4,midfield,really_long,3,1.15470053838,-0.666666666667
4,midfield,short,5,0.201990098767,0.2
4,redzone,short,4,0.08,0.04
4,touchback,long,1,,-2.0
