,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,38,0.321003050995,0.230526315789
1,crap,really_long,8,0.847449956382,1.38777878078e-17
1,fg,long,41,1.10280529206,0.411707317073
1,fg,really_long,5,0.0876356092008,0.056
1,goaline,long,10,2.30365506677,1.124
1,goaline,medium,10,1.98681878612,1.296
1,goaline,short,7,1.52697647096,0.577142857143
1,midfield,long,202,0.832752931223,0.335643564356
1,midfield,medium,4,0.670124366567,0.84
1,midfield,really_long,9,0.507324134827,0.355555555556
1,redzone,long,31,1.35856724023,0.641290322581
1,redzone,medium,1,,0.0
1,touchback,long,108,0.848233315605,0.357407407407
1,touchback,really_long,3,0.18903262505,0.213333333333
2,crap,long,19,0.176409942566,0.212631578947
2,crap,medium,5,0.12,0.4
2,crap,really_long,14,0.188014495583,0.105714285714
2,crap,short,1,,0.0
2,fg,long,17,0.294018806921,0.207058823529
2,fg,medium,9,1.6036347603,0.697777777778
2,fg,really_long,9,2.10219990592,1.21777777778
2,fg,short,2,0.254558441227,0.54
2,goaline,long,7,1.64676884202,0.668571428571
2,goaline,medium,12,2.17341513139,2.12666666667
2,goaline,short,8,1.42291451405,0.52
2,midfield,long,85,0.985850142872,0.386823529412
2,midfield,medium,49,0.393608804724,0.143673469388
2,midfield,really_long,39,0.384596814666,0.294358974359
2,midfield,short,24,0.353057042647,0.296666666667
2,redzone,long,13,2.02729072713,1.07076923077
2,redzone,medium,9,1.56869372409,0.653333333333
2,redzone,really_long,10,0.183593754433,0.192
2,redzone,short,1,,0.52
2,touchback,long,36,0.1797741087,0.181111111111
2,touchback,medium,10,0.913347931757,0.144
2,touchback,really_long,13,0.494648282193,0.424615384615
2,touchback,short,7,0.315322963687,0.274285714286
3,crap,long,8,0.763432100077,-0.145
3,crap,medium,6,3.02772962245,1.30666666667
3,crap,really_long,8,0.285857107161,0.25
3,crap,short,3,0.180369990113,0.186666666667
3,fg,long,11,0.190004784629,0.152727272727
3,fg,medium,11,1.44171614909,0.676363636364
3,fg,really_long,11,0.248574115525,0.309090909091
3,fg,short,4,0.217868461845,0.26
3,goaline,long,6,1.77928824721,0.773333333333
3,goaline,medium,6,2.54767868199,1.06666666667
3,goaline,short,12,1.93460355347,1.06
3,midfield,long,46,0.441912400876,0.346086956522
3,midfield,medium,42,0.250182743895,0.215238095238
3,midfield,really_long,31,1.21714349177,0.401290322581
3,midfield,short,38,0.477303950504,0.168421052632
3,redzone,long,12,0.654902259652,-0.0266666666667
3,redzone,medium,5,2.0009197885,0.944
3,redzone,really_long,7,1.62201520749,0.8
3,redzone,short,4,0.32083225108,0.22
3,touchback,long,29,0.361005710693,0.204137931034
3,touchback,medium,13,0.248977395741,0.196923076923
3,touchback,really_long,9,0.663961176911,0.542222222222
3,touchback,short,4,1.02156742313,-0.47
4,fg,medium,1,,0.88
4,goaline,long,1,,0.0
4,goaline,short,2,2.88499566724,2.04
4,midfield,long,1,,0.0
4,midfield,medium,5,0.175727061092,0.176
4,midfield,really_long,1,,-2.0
4,midfield,short,6,2.58273240322,1.41333333333
4,touchback,long,1,,0.0
4,touchback,really_long,1,,0.0
