,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,37,0.418405381255,0.263783783784
1,crap,really_long,6,0.163299316186,0.0666666666667
1,fg,long,34,1.37610315494,0.596470588235
1,fg,really_long,3,0.140475383371,0.146666666667
1,goaline,long,11,2.01499108954,1.21090909091
1,goaline,medium,4,2.12,1.06
1,goaline,short,6,2.11726868079,1.36666666667
1,midfield,long,237,0.581943319925,0.228691983122
1,midfield,medium,3,0.227449628123,0.253333333333
1,midfield,really_long,8,0.220907220344,0.17
1,redzone,long,26,1.90494869707,1.14153846154
1,touchback,long,100,0.50522346291,0.2376
1,touchback,medium,1,,0.0
1,touchback,really_long,7,0.151185789204,0.217142857143
2,crap,long,19,0.629266722612,0.418947368421
2,crap,medium,6,0.864098759788,-0.253333333333
2,crap,really_long,15,0.193415417714,0.186666666667
2,crap,short,2,0.11313708499,0.24
2,fg,long,17,1.57770496012,0.788235294118
2,fg,medium,4,0.14,0.07
2,fg,really_long,11,1.44203896051,0.541818181818
2,fg,short,2,1.41421356237,-1.0
2,goaline,long,6,0.130025638497,0.233333333333
2,goaline,medium,11,2.11908041805,1.52727272727
2,goaline,short,6,2.2275966122,2.03333333333
2,midfield,long,123,1.09317361319,0.279024390244
2,midfield,medium,34,0.398029012101,0.311764705882
2,midfield,really_long,34,0.593358368356,0.204705882353
2,midfield,short,25,0.351969695665,0.2192
2,redzone,long,20,1.34018223427,0.646
2,redzone,medium,6,0.174661577534,0.106666666667
2,redzone,really_long,5,2.53418231388,2.776
2,redzone,short,2,0.197989898732,0.14
2,touchback,long,37,0.327601163799,0.243243243243
2,touchback,medium,9,0.321869538789,0.333333333333
2,touchback,really_long,16,0.22627416998,0.22
2,touchback,short,3,0.301993377411,0.28
3,crap,long,13,0.734190641071,0.587692307692
3,crap,medium,8,2.62097037646,1.04
3,crap,really_long,11,0.262962147293,0.149090909091
3,crap,short,2,0.169705627485,0.12
3,fg,long,8,2.11552087473,1.68
3,fg,medium,8,1.7233107671,0.755
3,fg,really_long,8,1.60481418595,0.91
3,fg,short,5,2.1628869596,1.016
3,goaline,long,2,0.169705627485,0.12
3,goaline,medium,9,2.09346071799,1.39555555556
3,goaline,short,12,2.11879897369,2.08
3,midfield,long,75,0.282861058434,0.2224
3,midfield,medium,39,0.369320052183,0.21641025641
3,midfield,really_long,32,0.335857112475,0.305
3,midfield,short,39,1.59727500744,0.686153846154
3,redzone,long,6,0.0,0.0
3,redzone,medium,7,2.24463805546,1.4
3,redzone,really_long,4,1.18315961166,-0.23
3,redzone,short,4,0.02,0.01
3,touchback,long,20,0.662232269636,-0.116
3,touchback,medium,9,0.175245859041,0.0888888888889
3,touchback,really_long,15,0.297673518825,0.213333333333
3,touchback,short,9,2.26892044814,1.09333333333
4,crap,really_long,2,0.11313708499,0.64
4,fg,short,1,,0.52
4,goaline,short,4,0.0,0.0
4,midfield,long,5,0.07155417528,0.032
4,midfield,medium,3,0.446019431565,0.333333333333
4,midfield,really_long,4,0.38140092641,0.33
4,midfield,short,5,0.123288280059,0.12
4,redzone,long,1,,0.44
4,redzone,medium,1,,0.48
4,touchback,long,1,,0.36
4,touchback,short,1,,0.0
