down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,37,9.760000000000002,0.2637837837837838
1,crap,really_long,6,0.4,0.06666666666666667
1,fg,long,34,20.28,0.5964705882352942
1,fg,really_long,3,0.44000000000000006,0.1466666666666667
1,goaline,long,11,13.32,1.210909090909091
1,goaline,medium,4,4.24,1.06
1,goaline,short,6,8.2,1.3666666666666665
1,midfield,long,237,54.199999999999996,0.22869198312236286
1,midfield,medium,3,0.76,0.25333333333333335
1,midfield,really_long,8,1.3599999999999999,0.16999999999999998
1,redzone,long,26,29.68,1.1415384615384616
1,touchback,long,100,23.75999999999999,0.23759999999999992
1,touchback,medium,1,0.0,0.0
1,touchback,really_long,7,1.5199999999999998,0.2171428571428571
2,crap,long,19,7.96,0.4189473684210526
2,crap,medium,6,-1.52,-0.25333333333333335
2,crap,really_long,15,2.8,0.18666666666666665
2,crap,short,2,0.48,0.24
2,fg,long,17,13.400000000000002,0.7882352941176471
2,fg,medium,4,0.28,0.07
2,fg,really_long,11,5.96,0.5418181818181819
2,fg,short,2,-2.0,-1.0
2,goaline,long,6,1.4000000000000001,0.23333333333333336
2,goaline,medium,11,16.8,1.5272727272727273
2,goaline,short,6,12.2,2.033333333333333
2,midfield,long,123,34.320000000000014,0.2790243902439026
2,midfield,medium,34,10.600000000000001,0.311764705882353
2,midfield,really_long,34,6.960000000000001,0.2047058823529412
2,midfield,short,25,5.48,0.2192
2,redzone,long,20,12.92,0.646
2,redzone,medium,6,0.64,0.10666666666666667
2,redzone,really_long,5,13.879999999999999,2.776
2,redzone,short,2,0.28,0.14
2,touchback,long,37,9.000000000000004,0.24324324324324334
2,touchback,medium,9,3.0,0.3333333333333333
2,touchback,really_long,16,3.52,0.22
2,touchback,short,3,0.84,0.27999999999999997
3,crap,long,13,7.640000000000001,0.5876923076923077
3,crap,medium,8,8.319999999999999,1.0399999999999998
3,crap,really_long,11,1.6400000000000001,0.1490909090909091
3,crap,short,2,0.24,0.12
3,fg,long,8,13.439999999999998,1.6799999999999997
3,fg,medium,8,6.040000000000001,0.7550000000000001
3,fg,really_long,8,7.28,0.91
3,fg,short,5,5.08,1.016
3,goaline,long,2,0.24,0.12
3,goaline,medium,9,12.56,1.3955555555555557
3,goaline,short,12,24.96,2.08
3,midfield,long,75,16.680000000000003,0.22240000000000004
3,midfield,medium,39,8.44,0.2164102564102564
3,midfield,really_long,32,9.760000000000002,0.30500000000000005
3,midfield,short,39,26.759999999999998,0.6861538461538461
3,redzone,long,6,0.0,0.0
3,redzone,medium,7,9.8,1.4000000000000001
3,redzone,really_long,4,-0.9199999999999999,-0.22999999999999998
3,redzone,short,4,0.04,0.01
3,touchback,long,20,-2.32,-0.11599999999999999
3,touchback,medium,9,0.7999999999999999,0.08888888888888888
3,touchback,really_long,15,3.2,0.21333333333333335
3,touchback,short,9,9.84,1.0933333333333333
4,crap,really_long,2,1.28,0.64
4,fg,short,1,0.52,0.52
4,goaline,short,4,0.0,0.0
4,midfield,long,5,0.16,0.032
4,midfield,medium,3,1.0,0.3333333333333333
4,midfield,really_long,4,1.32,0.33
4,midfield,short,5,0.6000000000000001,0.12000000000000002
4,redzone,long,1,0.44,0.44
4,redzone,medium,1,0.48,0.48
4,touchback,long,1,0.36,0.36
4,touchback,short,1,0.0,0.0
