down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,38,12.08,0.3178947368421053
1,crap,really_long,5,0.6000000000000001,0.12000000000000002
1,fg,long,35,6.36,0.18171428571428572
1,fg,really_long,2,0.2,0.1
1,goaline,long,6,4.640000000000001,0.7733333333333334
1,goaline,medium,5,8.36,1.672
1,goaline,short,3,0.0,0.0
1,midfield,long,211,79.03999999999995,0.37459715639810404
1,midfield,medium,1,1.04,1.04
1,midfield,really_long,15,0.5600000000000002,0.03733333333333334
1,redzone,long,20,9.919999999999998,0.4959999999999999
1,redzone,really_long,3,0.76,0.25333333333333335
1,touchback,long,100,26.95999999999999,0.2695999999999999
1,touchback,really_long,3,0.88,0.29333333333333333
2,crap,long,23,6.6000000000000005,0.28695652173913044
2,crap,really_long,14,2.4400000000000004,0.17428571428571432
2,fg,long,19,3.4400000000000004,0.18105263157894738
2,fg,medium,6,2.1999999999999997,0.36666666666666664
2,fg,really_long,7,1.6,0.2285714285714286
2,fg,short,2,0.52,0.26
2,goaline,long,6,4.36,0.7266666666666667
2,goaline,medium,8,8.56,1.07
2,goaline,short,7,12.280000000000001,1.7542857142857144
2,midfield,long,97,15.120000000000001,0.15587628865979383
2,midfield,medium,31,5.16,0.1664516129032258
2,midfield,really_long,47,12.24,0.26042553191489365
2,midfield,short,23,5.12,0.22260869565217392
2,redzone,long,16,2.0,0.125
2,redzone,medium,1,0.08,0.08
2,redzone,really_long,3,0.6,0.19999999999999998
2,redzone,short,1,0.0,0.0
2,touchback,long,47,12.92,0.27489361702127657
2,touchback,medium,7,1.72,0.24571428571428572
2,touchback,really_long,7,1.5999999999999999,0.22857142857142856
2,touchback,short,8,2.12,0.265
3,crap,long,6,0.32,0.05333333333333334
3,crap,medium,2,0.0,0.0
3,crap,really_long,13,3.4000000000000004,0.26153846153846155
3,crap,short,3,0.2,0.06666666666666667
3,fg,long,11,2.8,0.2545454545454545
3,fg,medium,10,0.28,0.028000000000000004
3,fg,really_long,5,1.36,0.272
3,fg,short,7,2.5200000000000005,0.36000000000000004
3,goaline,long,10,13.16,1.316
3,goaline,medium,8,15.08,1.885
3,goaline,short,5,12.440000000000001,2.4880000000000004
3,midfield,long,55,25.200000000000006,0.4581818181818183
3,midfield,medium,52,16.839999999999993,0.32384615384615373
3,midfield,really_long,34,4.6000000000000005,0.13529411764705884
3,midfield,short,48,8.720000000000002,0.18166666666666673
3,redzone,long,12,6.279999999999999,0.5233333333333333
3,redzone,medium,10,3.6800000000000006,0.36800000000000005
3,redzone,really_long,5,4.92,0.984
3,redzone,short,5,5.44,1.088
3,touchback,long,23,3.72,0.1617391304347826
3,touchback,medium,13,1.8800000000000006,0.14461538461538465
3,touchback,really_long,7,2.6,0.37142857142857144
3,touchback,short,5,0.32,0.064
4,fg,medium,1,0.36,0.36
4,midfield,long,3,0.6,0.19999999999999998
4,midfield,medium,2,0.08,0.04
4,midfield,really_long,1,0.0,0.0
4,midfield,short,5,0.36,0.072
4,redzone,really_long,1,4.5600000000000005,4.5600000000000005
