down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,47,5.800000000000001,0.12340425531914895
1,crap,really_long,7,0.72,0.10285714285714286
1,fg,long,32,11.520000000000001,0.36000000000000004
1,fg,really_long,2,-1.3599999999999999,-0.6799999999999999
1,goaline,long,3,8.64,2.8800000000000003
1,goaline,medium,5,0.2,0.04
1,goaline,short,5,16.24,3.2479999999999998
1,midfield,long,204,60.71999999999998,0.2976470588235293
1,midfield,really_long,11,2.6800000000000006,0.24363636363636368
1,redzone,long,31,8.520000000000003,0.27483870967741947
1,touchback,long,95,16.68,0.17557894736842106
1,touchback,really_long,5,0.68,0.136
2,crap,long,14,3.04,0.21714285714285714
2,crap,medium,10,3.7199999999999998,0.372
2,crap,really_long,16,2.0,0.125
2,crap,short,3,0.92,0.3066666666666667
2,fg,long,15,5.84,0.3893333333333333
2,fg,medium,5,5.4,1.08
2,fg,really_long,2,0.12,0.06
2,fg,short,4,5.76,1.44
2,goaline,long,4,4.92,1.23
2,goaline,medium,7,6.72,0.96
2,goaline,short,6,8.16,1.36
2,midfield,long,98,40.48,0.4130612244897959
2,midfield,medium,33,3.8800000000000003,0.11757575757575758
2,midfield,really_long,33,8.440000000000001,0.2557575757575758
2,midfield,short,20,7.4,0.37
2,redzone,long,15,5.4799999999999995,0.3653333333333333
2,redzone,medium,9,14.520000000000001,1.6133333333333335
2,redzone,really_long,7,1.3599999999999999,0.19428571428571426
2,redzone,short,4,0.28,0.07
2,touchback,long,45,9.040000000000003,0.20088888888888895
2,touchback,medium,12,0.28000000000000025,0.023333333333333355
2,touchback,really_long,15,0.8799999999999999,0.05866666666666666
2,touchback,short,6,-0.52,-0.08666666666666667
3,crap,long,10,3.0400000000000005,0.30400000000000005
3,crap,medium,6,1.56,0.26
3,crap,really_long,12,3.3600000000000003,0.28
3,fg,long,6,5.44,0.9066666666666667
3,fg,medium,8,-2.8800000000000003,-0.36000000000000004
3,fg,really_long,8,0.72,0.09
3,fg,short,4,0.0,0.0
3,goaline,long,4,4.4,1.1
3,goaline,medium,7,9.0,1.2857142857142858
3,goaline,short,10,8.24,0.8240000000000001
3,midfield,long,56,22.32,0.3985714285714286
3,midfield,medium,42,10.919999999999998,0.25999999999999995
3,midfield,really_long,36,11.799999999999999,0.3277777777777777
3,midfield,short,27,5.800000000000001,0.21481481481481485
3,redzone,long,11,-0.36,-0.03272727272727272
3,redzone,medium,6,5.359999999999999,0.8933333333333332
3,redzone,really_long,3,0.56,0.18666666666666668
3,redzone,short,5,0.44,0.088
3,touchback,long,22,7.5600000000000005,0.3436363636363637
3,touchback,medium,15,1.4,0.09333333333333332
3,touchback,really_long,16,5.040000000000001,0.31500000000000006
3,touchback,short,6,0.52,0.08666666666666667
4,fg,long,1,0.0,0.0
4,fg,medium,1,0.0,0.0
4,fg,short,3,0.52,0.17333333333333334
4,goaline,short,4,8.36,2.09
4,midfield,long,2,0.0,0.0
4,midfield,medium,2,0.0,0.0
4,midfield,really_long,2,0.6400000000000001,0.32000000000000006
4,midfield,short,5,-1.52,-0.304
4,redzone,medium,2,4.84,2.42
4,redzone,really_long,1,0.0,0.0
4,touchback,long,1,0.0,0.0
