down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,32,7.5600000000000005,0.23625000000000002
1,crap,really_long,3,-0.04000000000000001,-0.013333333333333336
1,fg,long,25,2.2,0.08800000000000001
1,fg,really_long,2,-0.04,-0.02
1,goaline,long,12,17.52,1.46
1,goaline,medium,3,4.36,1.4533333333333334
1,goaline,short,9,12.280000000000001,1.3644444444444446
1,midfield,long,202,65.88000000000001,0.3261386138613862
1,midfield,medium,5,0.9600000000000001,0.192
1,midfield,really_long,12,10.440000000000001,0.8700000000000001
1,redzone,long,45,23.439999999999998,0.5208888888888888
1,redzone,medium,1,0.0,0.0
1,redzone,really_long,2,0.8400000000000001,0.42000000000000004
1,touchback,long,91,19.559999999999995,0.2149450549450549
1,touchback,really_long,4,0.8800000000000001,0.22000000000000003
2,crap,long,13,8.360000000000001,0.6430769230769232
2,crap,medium,3,0.56,0.18666666666666668
2,crap,really_long,9,2.36,0.2622222222222222
2,crap,short,1,0.2,0.2
2,fg,long,19,12.04,0.6336842105263157
2,fg,medium,10,5.52,0.5519999999999999
2,fg,really_long,7,5.6000000000000005,0.8
2,fg,short,3,0.0,0.0
2,goaline,long,5,0.48,0.096
2,goaline,medium,7,0.0,0.0
2,goaline,short,9,24.479999999999997,2.7199999999999998
2,midfield,long,89,31.48,0.3537078651685393
2,midfield,medium,30,9.280000000000003,0.3093333333333334
2,midfield,really_long,36,12.16,0.3377777777777778
2,midfield,short,15,2.08,0.13866666666666666
2,redzone,long,19,15.439999999999996,0.8126315789473683
2,redzone,medium,4,0.44,0.11
2,redzone,really_long,6,0.76,0.12666666666666668
2,touchback,long,39,11.56,0.2964102564102564
2,touchback,medium,8,2.68,0.335
2,touchback,really_long,10,4.08,0.40800000000000003
2,touchback,short,2,0.32,0.16
3,crap,long,9,1.52,0.1688888888888889
3,crap,medium,6,0.12,0.02
3,crap,really_long,4,2.08,0.52
3,crap,short,1,0.36,0.36
3,fg,long,12,9.84,0.82
3,fg,medium,6,1.8399999999999999,0.30666666666666664
3,fg,really_long,5,0.64,0.128
3,fg,short,5,6.24,1.248
3,goaline,long,2,0.0,0.0
3,goaline,medium,10,17.12,1.7120000000000002
3,goaline,short,9,20.279999999999998,2.253333333333333
3,midfield,long,42,9.040000000000001,0.21523809523809526
3,midfield,medium,39,4.5600000000000005,0.11692307692307694
3,midfield,really_long,29,2.04,0.0703448275862069
3,midfield,short,27,13.839999999999998,0.5125925925925925
3,redzone,long,12,-0.20000000000000018,-0.01666666666666668
3,redzone,medium,11,2.0000000000000004,0.18181818181818185
3,redzone,really_long,3,0.28,0.09333333333333334
3,redzone,short,1,0.0,0.0
3,touchback,long,20,6.12,0.306
3,touchback,medium,21,2.840000000000001,0.1352380952380953
3,touchback,really_long,9,1.12,0.12444444444444445
3,touchback,short,4,2.84,0.71
4,fg,really_long,2,0.8,0.4
4,fg,short,4,5.24,1.31
4,goaline,long,1,4.4,4.4
4,goaline,medium,1,0.0,0.0
4,goaline,short,1,0.0,0.0
4,midfield,long,1,1.0,1.0
4,midfield,really_long,1,0.0,0.0
4,midfield,short,4,0.0,0.0
4,redzone,long,1,0.0,0.0
4,redzone,medium,1,0.32,0.32
4,redzone,really_long,1,0.0,0.0
4,touchback,long,2,-1.56,-0.78
