,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,32,0.301113524835,0.23625
1,crap,really_long,3,0.140475383371,-0.0133333333333
1,fg,long,25,0.187971629065,0.088
1,fg,really_long,2,0.0282842712475,-0.02
1,goaline,long,12,2.09813770239,1.46
1,goaline,medium,3,2.41406986919,1.45333333333
1,goaline,short,9,2.03680577812,1.36444444444
1,midfield,long,202,0.775876292003,0.326138613861
1,midfield,medium,5,0.298529730513,0.192
1,midfield,really_long,12,1.92983277655,0.87
1,redzone,long,45,1.31255445293,0.520888888889
1,redzone,medium,1,,0.0
1,redzone,really_long,2,0.141421356237,0.42
1,touchback,long,91,0.536810278148,0.214945054945
1,touchback,really_long,4,0.147873820085,0.22
2,crap,long,13,2.25645512776,0.643076923077
2,crap,medium,3,0.166533279957,0.186666666667
2,crap,really_long,9,0.226372357951,0.262222222222
2,crap,short,1,,0.2
2,fg,long,19,1.5427112156,0.633684210526
2,fg,medium,10,1.76451944985,0.552
2,fg,really_long,7,1.84072449505,0.8
2,fg,short,3,0.0,0.0
2,goaline,long,5,0.14310835056,0.096
2,goaline,medium,7,0.0,0.0
2,goaline,short,9,2.04019606901,2.72
2,midfield,long,89,0.927222614761,0.353707865169
2,midfield,medium,30,0.399300537866,0.309333333333
2,midfield,really_long,36,0.350078449258,0.337777777778
2,midfield,short,15,0.705386081383,0.138666666667
2,redzone,long,19,1.67841473522,0.812631578947
2,redzone,medium,4,0.22,0.11
2,redzone,really_long,6,0.218235346969,0.126666666667
2,touchback,long,39,0.289859196122,0.29641025641
2,touchback,medium,8,0.420577833802,0.335
2,touchback,really_long,10,0.406087018589,0.408
2,touchback,short,2,0.0565685424949,0.16
3,crap,long,9,0.168259059522,0.168888888889
3,crap,medium,6,0.0489897948557,0.02
3,crap,really_long,4,0.524595081944,0.52
3,crap,short,1,,0.36
3,fg,long,12,2.13313256631,0.82
3,fg,medium,6,0.274420601753,0.306666666667
3,fg,really_long,5,0.28621670112,0.128
3,fg,short,5,2.14091569194,1.248
3,goaline,long,2,0.0,0.0
3,goaline,medium,10,2.1851051335,1.712
3,goaline,short,9,2.12828569511,2.25333333333
3,midfield,long,42,0.229689483872,0.215238095238
3,midfield,medium,39,0.593961516768,0.116923076923
3,midfield,really_long,29,0.479601640938,0.0703448275862
3,midfield,short,27,1.27450923464,0.512592592593
3,redzone,long,12,0.660679173046,-0.0166666666667
3,redzone,medium,11,0.161357874417,0.181818181818
3,redzone,really_long,3,0.161658075373,0.0933333333333
3,redzone,short,1,,0.0
3,touchback,long,20,0.397100013917,0.306
3,touchback,medium,21,0.816575893886,0.135238095238
3,touchback,really_long,9,0.259572297786,0.124444444444
3,touchback,short,4,0.915860251348,0.71
4,fg,really_long,2,0.565685424949,0.4
4,fg,short,4,2.41138964085,1.31
4,goaline,long,1,,4.4
4,goaline,medium,1,,0.0
4,goaline,short,1,,0.0
4,midfield,long,1,,1.0
4,midfield,really_long,1,,0.0
4,midfield,short,4,0.0,0.0
4,redzone,long,1,,0.0
4,redzone,medium,1,,0.32
4,redzone,really_long,1,,0.0
4,touchback,long,2,1.7253405461,-0.78
