,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,36,0.582103465412,0.128888888889
1,crap,really_long,1,,0.4
1,fg,long,34,1.21403380302,0.476470588235
1,fg,really_long,2,0.480832611207,0.34
1,goaline,long,8,1.9905419219,1.075
1,goaline,medium,6,2.30057384146,2.1
1,goaline,short,4,0.0,0.0
1,midfield,long,221,0.873897467222,0.295384615385
1,midfield,medium,3,0.508068236887,0.293333333333
1,midfield,really_long,9,0.333466640011,0.44
1,redzone,long,34,0.872111785342,0.207058823529
1,redzone,medium,1,,-0.04
1,redzone,really_long,1,,0.0
1,touchback,long,92,0.492398208951,0.255217391304
2,crap,long,15,0.282627131108,0.237333333333
2,crap,medium,7,0.270026453731,0.371428571429
2,crap,really_long,8,0.272134420567,0.24
2,crap,short,1,,0.12
2,fg,long,12,0.641891145308,-0.0266666666667
2,fg,medium,7,0.214698016049,0.165714285714
2,fg,really_long,10,1.52527738825,0.656
2,fg,short,2,0.169705627485,0.12
2,goaline,long,8,2.02453522003,1.1
2,goaline,medium,6,0.0,0.0
2,goaline,short,6,1.64932309347,0.673333333333
2,midfield,long,92,0.823978323206,0.402173913043
2,midfield,medium,42,0.348318676094,0.240952380952
2,midfield,really_long,40,0.273700191582,0.259
2,midfield,short,21,0.383587079578,0.327619047619
2,redzone,long,17,1.12639978275,0.435294117647
2,redzone,medium,6,1.86573309988,0.84
2,redzone,really_long,8,0.120948631363,0.08
2,redzone,short,3,0.201328918274,0.186666666667
2,touchback,long,36,0.309691090328,0.226666666667
2,touchback,medium,11,0.262463850325,0.185454545455
2,touchback,really_long,10,0.725178905129,-0.068
2,touchback,short,6,0.100399203184,0.06
3,crap,long,12,0.338606771129,0.17
3,crap,medium,3,0.0692820323028,0.04
3,crap,really_long,12,0.297117464783,0.163333333333
3,crap,short,6,0.236530477247,0.246666666667
3,fg,long,11,0.230793098999,0.116363636364
3,fg,medium,10,1.5971585881,0.684
3,fg,really_long,9,0.772729649432,-0.0711111111111
3,fg,short,4,0.24549270186,0.18
3,goaline,long,8,2.2883993158,0.845
3,goaline,medium,4,2.1,1.05
3,goaline,short,12,2.09684322617,1.76666666667
3,midfield,long,47,1.22518015817,0.603404255319
3,midfield,medium,53,0.895817081681,0.336603773585
3,midfield,really_long,33,1.116737673,0.510303030303
3,midfield,short,35,0.977896215558,0.361142857143
3,redzone,long,6,0.849658755031,-0.28
3,redzone,medium,11,0.612001188353,-0.163636363636
3,redzone,really_long,10,0.152956057597,0.072
3,redzone,short,6,0.852291030107,-0.28
3,touchback,long,16,0.623789494408,0.0625
3,touchback,medium,12,0.24566545372,0.236666666667
3,touchback,really_long,13,0.937284676127,0.227692307692
3,touchback,short,11,0.370198963704,0.225454545455
4,crap,really_long,1,,-2.0
4,fg,short,2,0.0,0.0
4,goaline,short,3,0.0,0.0
4,midfield,medium,2,0.0282842712475,0.02
4,midfield,really_long,1,,0.0
4,midfield,short,6,0.252243268823,0.246666666667
4,redzone,medium,2,1.83847763109,-0.7
4,redzone,really_long,1,,0.0
4,redzone,short,1,,0.32
4,touchback,really_long,2,1.41421356237,-1.0
