,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,27,0.351063504292,0.179259259259
1,crap,really_long,5,0.330575256182,0.336
1,fg,long,48,1.54769813063,0.645833333333
1,fg,really_long,3,0.2,0.2
1,goaline,long,10,1.83012325025,0.868
1,goaline,medium,9,1.39323763627,0.488888888889
1,goaline,short,2,2.85671139599,2.02
1,midfield,long,238,0.814274538342,0.246218487395
1,midfield,really_long,9,0.397548040423,0.217777777778
1,redzone,long,25,1.2672026936,0.4912
1,redzone,really_long,4,0.184752086141,0.16
1,touchback,long,99,0.897594393773,0.295757575758
1,touchback,really_long,6,0.304630924235,0.16
2,crap,long,20,0.236776599128,0.31
2,crap,medium,2,0.254558441227,0.18
2,crap,really_long,11,0.85511934308,-0.290909090909
2,fg,long,16,0.758801686872,-0.1375
2,fg,medium,4,0.02,0.01
2,fg,really_long,8,0.298568010917,0.2
2,fg,short,5,0.304630924235,0.24
2,goaline,long,7,1.60672396657,0.685714285714
2,goaline,medium,7,2.21736866793,1.81714285714
2,goaline,short,12,1.85764921502,1.02666666667
2,midfield,long,106,0.687017016494,0.3
2,midfield,medium,43,0.377486001149,0.247441860465
2,midfield,really_long,38,0.337974891119,0.26
2,midfield,short,19,0.33967304541,0.24
2,redzone,long,21,1.4105021058,0.521904761905
2,redzone,medium,10,1.47765580115,0.52
2,redzone,really_long,7,1.78375740396,0.737142857143
2,redzone,short,2,0.0848528137424,0.22
2,touchback,long,38,0.403100360241,0.315789473684
2,touchback,medium,14,2.63424614401,1.13714285714
2,touchback,really_long,21,0.272512122928,0.251428571429
2,touchback,short,6,0.302169930117,0.266666666667
3,crap,long,14,0.417011871652,0.202857142857
3,crap,medium,4,3.66393231379,1.95
3,crap,really_long,11,0.379933008449,0.309090909091
3,crap,short,3,0.115470053838,0.0666666666667
3,fg,long,11,1.47000061843,0.592727272727
3,fg,medium,11,1.41328759217,0.672727272727
3,fg,really_long,10,1.72141543827,0.384
3,fg,short,4,0.264323034688,0.18
3,goaline,long,5,0.03577708764,-0.016
3,goaline,medium,5,1.8782971011,0.84
3,goaline,short,14,2.12011403384,2.04285714286
3,midfield,long,57,0.362194647125,0.111578947368
3,midfield,medium,50,0.957505602904,0.3056
3,midfield,really_long,33,0.32885936941,0.281212121212
3,midfield,short,40,0.920503763972,0.384
3,redzone,long,14,1.96110980018,1.04857142857
3,redzone,medium,11,1.8147196127,0.974545454545
3,redzone,really_long,6,0.148413835833,0.0866666666667
3,redzone,short,5,2.47570595992,1.808
3,touchback,long,23,0.77012190401,0.161739130435
3,touchback,medium,18,0.563393081876,0.06
3,touchback,really_long,7,0.755928946018,-0.285714285714
3,touchback,short,7,0.421335744417,0.377142857143
4,fg,long,1,,0.4
4,fg,short,1,,0.96
4,goaline,long,1,,4.28
4,goaline,short,4,0.06,0.03
4,midfield,long,1,,1.0
4,midfield,medium,5,0.226980175346,0.248
4,midfield,really_long,1,,0.96
4,midfield,short,7,0.420702360572,0.377142857143
4,redzone,long,1,,0.0
4,redzone,short,2,0.197989898732,0.14
