down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,27,4.84,0.17925925925925926
1,crap,really_long,5,1.6800000000000002,0.336
1,fg,long,48,30.999999999999993,0.6458333333333331
1,fg,really_long,3,0.6000000000000001,0.20000000000000004
1,goaline,long,10,8.68,0.868
1,goaline,medium,9,4.4,0.48888888888888893
1,goaline,short,2,4.04,2.02
1,midfield,long,238,58.600000000000016,0.24621848739495805
1,midfield,really_long,9,1.96,0.21777777777777776
1,redzone,long,25,12.280000000000001,0.4912
1,redzone,really_long,4,0.64,0.16
1,touchback,long,99,29.28000000000001,0.29575757575757583
1,touchback,really_long,6,0.96,0.16
2,crap,long,20,6.200000000000001,0.31000000000000005
2,crap,medium,2,0.36,0.18
2,crap,really_long,11,-3.2,-0.29090909090909095
2,fg,long,16,-2.2,-0.1375
2,fg,medium,4,0.04,0.01
2,fg,really_long,8,1.6,0.2
2,fg,short,5,1.2000000000000002,0.24000000000000005
2,goaline,long,7,4.800000000000001,0.6857142857142858
2,goaline,medium,7,12.72,1.8171428571428572
2,goaline,short,12,12.32,1.0266666666666666
2,midfield,long,106,31.79999999999999,0.29999999999999993
2,midfield,medium,43,10.64,0.2474418604651163
2,midfield,really_long,38,9.879999999999999,0.25999999999999995
2,midfield,short,19,4.5600000000000005,0.24000000000000002
2,redzone,long,21,10.96,0.521904761904762
2,redzone,medium,10,5.2,0.52
2,redzone,really_long,7,5.16,0.7371428571428572
2,redzone,short,2,0.44000000000000006,0.22000000000000003
2,touchback,long,38,12.000000000000004,0.3157894736842106
2,touchback,medium,14,15.919999999999998,1.137142857142857
2,touchback,really_long,21,5.279999999999999,0.2514285714285714
2,touchback,short,6,1.6,0.26666666666666666
3,crap,long,14,2.84,0.20285714285714285
3,crap,medium,4,7.8,1.95
3,crap,really_long,11,3.4,0.3090909090909091
3,crap,short,3,0.2,0.06666666666666667
3,fg,long,11,6.52,0.5927272727272727
3,fg,medium,11,7.4,0.6727272727272727
3,fg,really_long,10,3.84,0.384
3,fg,short,4,0.7200000000000001,0.18000000000000002
3,goaline,long,5,-0.08,-0.016
3,goaline,medium,5,4.2,0.8400000000000001
3,goaline,short,14,28.6,2.042857142857143
3,midfield,long,57,6.36,0.11157894736842106
3,midfield,medium,50,15.280000000000003,0.30560000000000004
3,midfield,really_long,33,9.279999999999996,0.2812121212121211
3,midfield,short,40,15.36,0.384
3,redzone,long,14,14.68,1.0485714285714285
3,redzone,medium,11,10.719999999999999,0.9745454545454545
3,redzone,really_long,6,0.52,0.08666666666666667
3,redzone,short,5,9.04,1.8079999999999998
3,touchback,long,23,3.720000000000001,0.16173913043478266
3,touchback,medium,18,1.08,0.060000000000000005
3,touchback,really_long,7,-2.0,-0.2857142857142857
3,touchback,short,7,2.64,0.37714285714285717
4,fg,long,1,0.4,0.4
4,fg,short,1,0.96,0.96
4,goaline,long,1,4.28,4.28
4,goaline,short,4,0.12,0.03
4,midfield,long,1,1.0,1.0
4,midfield,medium,5,1.24,0.248
4,midfield,really_long,1,0.96,0.96
4,midfield,short,7,2.64,0.37714285714285717
4,redzone,long,1,0.0,0.0
4,redzone,short,2,0.28,0.14
