,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,43,0.497657858782,0.245581395349
1,crap,really_long,4,0.584579621038,0.41
1,fg,long,31,1.63979017803,0.814193548387
1,fg,really_long,2,0.0,0.0
1,goaline,long,8,1.94471444837,1.135
1,goaline,medium,6,1.70552044843,0.72
1,goaline,short,8,2.39532282346,1.265
1,midfield,long,195,0.654247312057,0.314871794872
1,midfield,medium,4,0.18,0.15
1,midfield,really_long,9,0.33092463056,0.231111111111
1,redzone,long,16,1.51178261224,0.6475
1,touchback,long,85,0.554009576311,0.171764705882
1,touchback,really_long,4,1.04613574645,0.6
2,crap,long,14,0.580261403768,-0.0342857142857
2,crap,medium,3,0.369504172281,0.213333333333
2,crap,really_long,12,0.359444015112,0.23
2,crap,short,2,0.22627416998,0.16
2,fg,long,15,1.29106526706,0.589333333333
2,fg,medium,5,2.0477109171,1.232
2,fg,really_long,5,0.364417343166,0.2
2,fg,short,2,3.47896536344,2.7
2,goaline,long,4,2.49436698717,2.16
2,goaline,medium,11,2.15944100511,1.96363636364
2,goaline,short,8,2.09508267822,2.53
2,midfield,long,85,0.816248987113,0.373176470588
2,midfield,medium,29,0.249713135911,0.220689655172
2,midfield,really_long,45,1.21611602317,0.357333333333
2,midfield,short,30,0.459396905999,0.104
2,redzone,long,13,1.72200241222,0.793846153846
2,redzone,medium,12,1.30722467986,0.59
2,redzone,really_long,9,1.47591026526,0.671111111111
2,redzone,short,2,3.3941125497,2.4
2,touchback,long,36,0.262972024585,0.243333333333
2,touchback,medium,13,0.626704854265,0.553846153846
2,touchback,really_long,12,0.652380257212,0.36
2,touchback,short,3,0.280950766743,0.0266666666667
3,crap,long,9,0.24899799196,0.293333333333
3,crap,medium,1,,0.68
3,crap,really_long,8,0.827733566519,-0.03
3,crap,short,2,0.197989898732,0.14
3,fg,long,9,0.353836120259,0.186666666667
3,fg,medium,7,0.859988925732,-0.108571428571
3,fg,really_long,6,0.367477890491,0.4
3,fg,short,5,0.357099425931,0.352
3,goaline,long,2,0.0,0.0
3,goaline,medium,9,2.22692613259,2.34666666667
3,goaline,short,8,1.45271174999,0.525
3,midfield,long,35,0.317163902701,0.208
3,midfield,medium,43,0.582679494348,0.215813953488
3,midfield,really_long,36,0.265291693311,0.244444444444
3,midfield,short,29,0.381591172146,0.227586206897
3,redzone,long,8,0.0740656079818,0.04
3,redzone,medium,5,0.01788854382,0.008
3,redzone,really_long,8,0.186317701022,0.135
3,redzone,short,4,0.150996688705,0.13
3,touchback,long,26,1.4877088218,0.218461538462
3,touchback,medium,14,0.311987601895,0.171428571429
3,touchback,really_long,10,0.221670426033,0.264
3,touchback,short,8,0.452769256907,0.395
4,crap,really_long,1,,-2.0
4,fg,long,2,0.0,0.0
4,fg,short,2,3.42239682094,2.42
4,goaline,short,2,2.85671139599,2.02
4,midfield,long,1,,-0.08
4,midfield,medium,3,0.151437555888,0.173333333333
4,midfield,really_long,1,,0.16
4,midfield,short,4,0.1,0.05
4,touchback,short,1,,0.0
