down,yardline,yards_to_go,passing_att_mean,passing_att_std,passing_int_mean,passing_int_std,passing_yds_mean,passing_yds_std,passing_cmp_mean,passing_cmp_std,fantasy_points_mean,fantasy_points_count,fantasy_points_std,passing_tds_mean,passing_tds_std,passing_cmp_air_yds_mean,passing_cmp_air_yds_std
1,crap,long,0.860643185299,0.346583964681,0.0168453292496,0.128790392903,6.4180704441,9.39397297063,0.584992343032,0.493101062579,0.247075038285,653,0.577793180199,0.00153139356815,0.0391330240097,3.54211332312,7.05674761757
1,crap,medium,1.0,0.0,0.0,0.0,3.5,4.94974746831,0.5,0.707106781187,0.14,2,0.197989898732,0.0,0.0,0.5,0.707106781187
1,crap,really_long,0.892857142857,0.311152430117,0.0238095238095,0.153370994901,5.97619047619,8.96307847082,0.583333333333,0.495967676107,0.200952380952,84,0.495482286767,0.0,0.0,3.22619047619,6.5184653203
1,fg,long,0.874587458746,0.331459698919,0.00990099009901,0.0990916935699,5.63201320132,7.50525314034,0.524752475248,0.499799485201,0.394917491749,606,1.06340319579,0.0445544554455,0.206493870411,3.3399339934,6.55226584963
1,fg,medium,0.5,0.707106781187,0.0,0.0,6.5,9.19238815543,0.5,0.707106781187,0.26,2,0.367695526217,0.0,0.0,3.5,4.94974746831
1,fg,really_long,0.769230769231,0.426832794918,0.025641025641,0.160128153805,3.05128205128,4.41259392593,0.461538461538,0.505035373756,0.298974358974,39,1.49761880272,0.0,0.0,1.07692307692,3.56433071436
1,goaline,long,0.840277777778,0.367626947665,0.0138888888889,0.117438340382,2.76388888889,3.61617599499,0.479166666667,0.501309474089,1.18277777778,144,2.04566963559,0.222222222222,0.417190812516,1.66666666667,3.32399624683
1,goaline,medium,0.875,0.332205298513,0.00892857142857,0.0944911182523,1.89285714286,2.47640084246,0.419642857143,0.495718476796,1.53642857143,112,2.23313009314,0.303571428571,0.461866282944,1.41071428571,2.26032594089
1,goaline,short,0.820512820513,0.385410319086,0.017094017094,0.130179318164,0.65811965812,1.28091019068,0.401709401709,0.492352359453,1.91777777778,117,2.40690927551,0.34188034188,0.47637990422,0.384615384615,1.30546697845
1,midfield,long,0.881714444754,0.322990894248,0.0186473698859,0.135295011136,7.02282215419,10.0167194387,0.562204286112,0.496184591335,0.31431116059,3593,0.806900314831,0.0130809908155,0.113637461072,3.8856109101,7.6061893477
1,midfield,medium,0.787878787879,0.415148750267,0.030303030303,0.174077655956,6.54545454545,9.99403231024,0.515151515152,0.507519218923,0.246666666667,33,0.585185155884,0.0,0.0,3.24242424242,6.76863309239
1,midfield,really_long,0.897727272727,0.303871127845,0.0227272727273,0.149457894866,6.92045454545,10.6515958197,0.613636363636,0.488304780277,0.292727272727,176,0.816099051793,0.0113636363636,0.106295349375,3.3125,7.60519089645
1,redzone,long,0.873210633947,0.333077611521,0.0122699386503,0.110200826067,4.37423312883,5.78871771126,0.513292433538,0.500335131912,0.666380368098,489,1.58630001326,0.112474437628,0.316272818559,2.58691206544,5.1487218367
1,redzone,medium,1.0,0.0,0.0,0.0,3.42857142857,6.52832655579,0.571428571429,0.534522483825,0.137142857143,7,0.261133062232,0.0,0.0,2.42857142857,5.96816953672
1,redzone,really_long,1.0,0.0,0.0,0.0,5.32,5.61040699653,0.72,0.458257569496,0.5328,25,1.23362447014,0.08,0.276887462097,1.96,5.1110990338
1,touchback,long,0.867498514557,0.339135931437,0.0190136660725,0.136613454102,7.29649435532,10.6990239622,0.60724896019,0.488507374181,0.282709447415,1683,0.683646081591,0.00356506238859,0.0596193315977,4.04991087344,7.66471165073
1,touchback,medium,0.666666666667,0.57735026919,0.0,0.0,5.66666666667,5.13160143945,0.666666666667,0.57735026919,0.36,3,0.0692820323028,0.0,0.0,3.33333333333,3.51188458428
1,touchback,really_long,0.852459016393,0.357587545168,0.0327868852459,0.179556222834,8.86885245902,13.4058139251,0.606557377049,0.492567711913,0.315409836066,61,0.750789748133,0.0,0.0,5.4262295082,11.2893150315
2,crap,long,0.902597402597,0.296987711159,0.012987012987,0.113402398852,6.80519480519,9.7450081915,0.649350649351,0.477949849937,0.275454545455,308,0.626554708296,0.00324675324675,0.0569802882298,3.50974025974,6.29486393693
2,crap,medium,0.886363636364,0.319187840844,0.0340909090909,0.182502630204,6.375,8.77340875313,0.556818181818,0.499607996804,0.222045454545,88,0.551987337625,0.0,0.0,3.19318181818,5.17477958783
2,crap,really_long,0.862222222222,0.345435083374,0.0222222222222,0.147734210071,6.04444444444,9.56265885852,0.6,0.490990253031,0.246666666667,225,0.697848735145,0.00444444444444,0.0666666666667,2.99555555556,6.91627078615
2,crap,short,0.931034482759,0.257880714778,0.0344827586207,0.185695338177,9.24137931034,13.4341121574,0.655172413793,0.483725281315,0.300689655172,29,0.692459029394,0.0,0.0,6.65517241379,11.8781788589
2,fg,long,0.902684563758,0.29688536003,0.0268456375839,0.161904021318,5.42617449664,7.19401075225,0.546979865772,0.498625321975,0.433825503356,298,1.22335168968,0.0570469798658,0.232322495452,3.13758389262,5.98352369085
2,fg,medium,0.897196261682,0.305131565786,0.0280373831776,0.165856492028,6.1214953271,7.55696639791,0.551401869159,0.499691317164,0.436448598131,107,1.20089844695,0.0560747663551,0.231148718807,3.38317757009,5.90433940167
2,fg,really_long,0.82905982906,0.378075851963,0.0,0.0,6.30769230769,8.08304050259,0.547008547009,0.499926313462,0.465128205128,117,1.2134736513,0.0598290598291,0.23818995211,3.52136752137,7.09977936835
