,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,41,0.305673187507,0.238048780488
1,crap,really_long,4,0.289136645896,0.23
1,fg,long,43,0.781790545004,0.318139534884
1,fg,medium,1,,0.0
1,fg,really_long,3,0.0,0.0
1,goaline,long,8,1.46703783182,0.665
1,goaline,medium,10,1.76989139654,0.864
1,goaline,short,7,2.20053673106,1.75428571429
1,midfield,long,219,0.758509216983,0.30904109589
1,midfield,really_long,16,0.665171657043,0.1
1,redzone,long,38,1.51193224652,0.474736842105
1,redzone,really_long,2,0.169705627485,0.12
1,touchback,long,121,0.467334979935,0.181157024793
1,touchback,really_long,1,,0.4
2,crap,long,19,0.234178918953,0.242105263158
2,crap,medium,4,0.521919534028,0.53
2,crap,really_long,15,0.210830557106,0.122666666667
2,crap,short,2,0.0,0.0
2,fg,long,19,1.23174387859,0.305263157895
2,fg,medium,4,0.253771550809,0.31
2,fg,really_long,7,0.300222139979,0.16
2,fg,short,4,1.09123782926,-0.41
2,goaline,long,6,1.71369386609,0.786666666667
2,goaline,medium,8,1.90121765493,0.02
2,goaline,short,9,2.04347199095,1.35555555556
2,midfield,long,114,0.608416873078,0.213333333333
2,midfield,medium,44,0.510818271554,0.256363636364
2,midfield,really_long,42,0.444740590456,0.312380952381
2,midfield,short,26,1.36427292555,0.466153846154
2,redzone,long,19,1.14924638414,0.256842105263
2,redzone,medium,5,2.39171904705,2.032
2,redzone,really_long,7,0.291988258081,0.142857142857
2,redzone,short,1,,0.0
2,touchback,long,44,1.12233221388,0.352727272727
2,touchback,medium,12,0.313784330489,0.323333333333
2,touchback,really_long,14,0.452713430936,0.294285714286
2,touchback,short,4,1.05495655519,-0.43
3,crap,long,5,0.10733126292,0.048
3,crap,medium,5,0.279141541158,0.248
3,crap,really_long,16,0.608424194128,0.0875
3,crap,short,5,0.16099689438,0.072
3,fg,long,5,0.40556133938,0.296
3,fg,medium,9,0.237580395749,0.222222222222
3,fg,really_long,8,0.290024629496,0.22
3,fg,short,9,0.408792259113,0.271111111111
3,goaline,long,3,2.4941531629,1.44
3,goaline,medium,10,0.0924722180501,0.052
3,goaline,short,8,1.93292524429,1.095
3,midfield,long,57,0.841857952407,0.235789473684
3,midfield,medium,43,0.934017151806,0.25023255814
3,midfield,really_long,40,1.51478694448,0.515
3,midfield,short,43,0.955191909309,0.264186046512
3,redzone,long,11,1.34632698986,0.541818181818
3,redzone,medium,11,1.37874778496,0.516363636364
3,redzone,really_long,8,0.736148276989,-0.195
3,redzone,short,6,2.40169939834,1.58
3,touchback,long,24,1.58395944905,0.323333333333
3,touchback,medium,12,0.568080233343,0.333333333333
3,touchback,really_long,12,0.646435447573,0.463333333333
3,touchback,short,6,0.885678647517,-0.213333333333
4,fg,long,1,,-2.0
4,fg,short,1,,0.0
4,goaline,short,4,2.31032465251,2.08
4,midfield,long,2,1.41421356237,-1.0
4,midfield,medium,2,0.0,0.0
4,midfield,really_long,2,0.141421356237,0.1
4,midfield,short,3,0.734302390027,0.52
4,redzone,long,1,,0.0
4,redzone,medium,2,0.0,0.0
4,redzone,short,1,,0.56
4,touchback,long,1,,0.32
4,touchback,really_long,1,,0.48
