,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,33,1.39421206161,0.509090909091
1,crap,really_long,4,0.265329983228,0.04
1,fg,long,42,1.35680981304,0.455238095238
1,fg,really_long,3,0.0230940107676,0.266666666667
1,goaline,long,6,0.1025020325,0.0733333333333
1,goaline,medium,6,2.15857978001,1.39333333333
1,goaline,short,12,2.1092580916,1.70666666667
1,midfield,long,218,0.685015413529,0.266055045872
1,midfield,medium,2,0.254558441227,0.18
1,midfield,really_long,12,0.645309416036,0.416666666667
1,redzone,long,34,1.96410752253,1.17294117647
1,redzone,really_long,2,0.311126983722,0.22
1,touchback,long,121,0.426315626941,0.291570247934
1,touchback,really_long,5,0.886972378375,0.688
2,crap,long,20,0.354792748991,0.264
2,crap,medium,3,0.0,0.0
2,crap,really_long,18,0.715165322082,0.135555555556
2,crap,short,2,0.593969696197,0.42
2,fg,long,20,1.22265629719,0.236
2,fg,medium,10,0.711605383778,-0.056
2,fg,really_long,5,0.270702789051,0.184
2,fg,short,4,2.94815196352,0.73
2,goaline,long,8,2.04416940869,1.07
2,goaline,medium,11,2.11915592116,1.52727272727
2,goaline,short,6,2.09192734099,1.38
2,midfield,long,87,0.434231093554,0.176091954023
2,midfield,medium,57,0.885717923834,0.444210526316
2,midfield,really_long,43,0.911974237557,0.38511627907
2,midfield,short,21,0.263080650317,0.177142857143
2,redzone,long,18,1.47800961374,0.622222222222
2,redzone,medium,9,1.45189531303,0.586666666667
2,redzone,really_long,7,0.134093073576,0.148571428571
2,touchback,long,50,0.443355664109,0.2152
2,touchback,medium,11,0.941287319675,0.167272727273
2,touchback,really_long,12,0.378257568171,0.273333333333
2,touchback,short,1,,0.32
3,crap,long,9,0.11313708499,0.0533333333333
3,crap,medium,7,0.238567151373,0.148571428571
3,crap,really_long,11,0.297968881841,0.203636363636
3,crap,short,6,0.167172565532,0.186666666667
3,fg,long,12,1.87547812086,1.05
3,fg,medium,11,0.196329963443,0.0763636363636
3,fg,really_long,7,0.806261212547,-0.217142857143
3,fg,short,9,1.63926812938,0.68
3,goaline,long,8,1.50454549378,0.61
3,goaline,medium,10,1.76834385796,0.888
3,goaline,short,7,2.3726055599,0.942857142857
3,midfield,long,47,0.47199303841,0.214468085106
3,midfield,medium,58,0.374685994769,0.244137931034
3,midfield,really_long,33,0.510908282109,0.250909090909
3,midfield,short,47,1.01078879448,0.381276595745
3,redzone,long,12,1.3372971384,0.54
3,redzone,medium,11,0.174689334638,0.0981818181818
3,redzone,really_long,3,0.151437555888,0.386666666667
3,redzone,short,3,0.161658075373,0.0933333333333
3,touchback,long,32,0.526827081872,0.16875
3,touchback,medium,18,0.738328796516,0.173333333333
3,touchback,really_long,13,0.605530070819,0.44
3,touchback,short,2,0.311126983722,0.22
4,crap,short,1,,0.0
4,fg,long,1,,0.0
4,fg,medium,1,,0.52
4,fg,short,1,,5.16
4,goaline,short,1,,4.04
4,midfield,long,2,0.0,0.0
4,midfield,medium,6,0.30845853314,0.413333333333
4,midfield,short,10,0.270012345397,0.172
4,redzone,short,1,,-0.04
4,touchback,long,1,,0.0
