,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,57,0.451621417519,0.106666666667
1,crap,really_long,3,0.785196366098,0.453333333333
1,fg,long,31,0.875440779916,0.370322580645
1,fg,really_long,3,0.161658075373,0.173333333333
1,goaline,long,11,1.73704032507,0.810909090909
1,goaline,medium,4,2.59681856637,0.52
1,goaline,short,9,1.8167492336,0.915555555556
1,midfield,long,177,0.650609370241,0.274124293785
1,midfield,medium,3,1.15470053838,-0.666666666667
1,midfield,really_long,12,0.389062587471,0.253333333333
1,redzone,long,20,1.04955128257,0.3
1,redzone,medium,1,,0.64
1,redzone,really_long,3,2.64494486395,1.58666666667
1,touchback,long,82,0.865039957617,0.298536585366
1,touchback,really_long,6,1.23728735547,0.04
2,crap,long,19,0.501002503758,-0.00421052631579
2,crap,medium,14,0.316074827696,0.205714285714
2,crap,really_long,13,0.152180729263,0.166153846154
2,crap,short,1,,0.2
2,fg,long,20,0.52578162367,0.064
2,fg,medium,3,0.323316150746,0.186666666667
2,fg,really_long,4,2.42421121192,1.5
2,fg,short,3,0.0,0.0
2,goaline,long,9,1.42800560223,0.52
2,goaline,medium,10,1.33823100481,0.432
2,goaline,short,12,1.85554370044,1.04333333333
2,midfield,long,89,1.24527150598,0.470112359551
2,midfield,medium,37,0.89961086015,0.380540540541
2,midfield,really_long,43,0.240608309923,0.150697674419
2,midfield,short,12,0.58542913553,-0.15
2,redzone,long,13,1.47019621924,0.295384615385
2,redzone,medium,9,1.7347045858,0.346666666667
2,redzone,really_long,12,1.28692727774,0.59
2,redzone,short,3,0.128582010147,0.0933333333333
2,touchback,long,49,1.15908772478,0.328979591837
2,touchback,medium,20,0.78114625627,0.04
2,touchback,really_long,15,0.235513623102,0.173333333333
2,touchback,short,8,0.283649683337,0.38
3,crap,long,16,0.43762236384,0.2675
3,crap,medium,9,1.34240248973,-0.0577777777778
3,crap,really_long,8,0.24819347292,0.21
3,crap,short,2,0.311126983722,0.22
3,fg,long,14,0.248918540009,0.182857142857
3,fg,medium,4,0.16,0.08
3,fg,really_long,2,0.11313708499,0.44
3,fg,short,8,0.326190128606,0.21
3,goaline,long,3,0.0230940107676,4.34666666667
3,goaline,medium,13,2.50036715253,1.34769230769
3,goaline,short,10,1.66680532757,0.032
3,midfield,long,38,0.281230784076,0.238947368421
3,midfield,medium,48,0.424431200516,0.123333333333
3,midfield,really_long,38,0.651337173665,0.106315789474
3,midfield,short,43,1.23176776514,0.153488372093
3,redzone,long,6,1.83994202807,0.813333333333
3,redzone,medium,11,1.39080617563,0.607272727273
3,redzone,really_long,8,0.25545477654,0.17
3,redzone,short,8,0.769099659156,-0.135
3,touchback,long,29,0.75003054125,0.266206896552
3,touchback,medium,18,0.43475783959,0.335555555556
3,touchback,really_long,7,0.307988868073,0.297142857143
3,touchback,short,11,0.282739841872,0.247272727273
4,crap,long,1,,0.0
4,goaline,medium,1,,0.0
4,goaline,short,1,,0.0
4,midfield,medium,1,,0.52
4,midfield,short,12,0.678143633664,0.0333333333333
4,redzone,medium,1,,0.0
4,redzone,short,1,,0.0
4,touchback,long,1,,-2.0
4,touchback,short,1,,0.0
