down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,42,11.600000000000001,0.2761904761904762
1,crap,really_long,9,1.84,0.20444444444444446
1,fg,long,37,6.280000000000002,0.16972972972972977
1,fg,really_long,1,0.0,0.0
1,goaline,long,5,0.52,0.10400000000000001
1,goaline,medium,8,33.60000000000001,4.200000000000001
1,goaline,short,7,4.16,0.5942857142857143
1,midfield,long,211,60.319999999999965,0.28587677725118465
1,midfield,medium,2,0.12,0.06
1,midfield,really_long,11,1.8399999999999999,0.16727272727272727
1,redzone,long,27,20.52,0.76
1,redzone,really_long,1,0.36,0.36
1,touchback,long,100,25.079999999999988,0.25079999999999986
1,touchback,medium,1,0.4,0.4
1,touchback,really_long,4,3.16,0.79
2,crap,long,16,5.200000000000001,0.32500000000000007
2,crap,medium,7,-1.3599999999999999,-0.19428571428571426
2,crap,really_long,15,6.72,0.448
2,crap,short,6,0.8800000000000001,0.1466666666666667
2,fg,long,17,5.48,0.3223529411764706
2,fg,medium,6,1.12,0.18666666666666668
2,fg,really_long,10,2.44,0.244
2,fg,short,6,0.52,0.08666666666666667
2,goaline,long,9,17.560000000000002,1.9511111111111115
2,goaline,medium,5,16.96,3.3920000000000003
2,goaline,short,6,4.2,0.7000000000000001
2,midfield,long,107,34.359999999999985,0.32112149532710266
2,midfield,medium,49,10.800000000000002,0.22040816326530618
2,midfield,really_long,51,6.600000000000002,0.1294117647058824
2,midfield,short,23,3.3600000000000003,0.14608695652173914
2,redzone,long,12,6.92,0.5766666666666667
2,redzone,medium,3,0.68,0.22666666666666668
2,redzone,really_long,3,0.6799999999999999,0.22666666666666666
2,redzone,short,1,0.0,0.0
2,touchback,long,44,13.639999999999995,0.3099999999999999
2,touchback,medium,7,-1.72,-0.24571428571428572
2,touchback,really_long,12,4.5200000000000005,0.3766666666666667
2,touchback,short,3,6.96,2.32
3,crap,long,10,3.8400000000000003,0.384
3,crap,medium,3,0.7999999999999999,0.26666666666666666
3,crap,really_long,13,2.7199999999999998,0.20923076923076922
3,crap,short,5,0.52,0.10400000000000001
3,fg,long,10,1.52,0.152
3,fg,medium,12,7.720000000000001,0.6433333333333334
3,fg,really_long,7,0.84,0.12
3,fg,short,6,-1.44,-0.24
3,goaline,long,6,13.240000000000002,2.206666666666667
3,goaline,medium,9,12.64,1.4044444444444446
3,goaline,short,8,8.84,1.105
3,midfield,long,55,30.360000000000007,0.5520000000000002
3,midfield,medium,58,12.92,0.22275862068965518
3,midfield,really_long,40,10.92,0.273
3,midfield,short,35,3.080000000000001,0.08800000000000002
3,redzone,long,7,6.000000000000001,0.8571428571428573
3,redzone,medium,3,0.76,0.25333333333333335
3,redzone,really_long,4,4.5600000000000005,1.1400000000000001
3,redzone,short,2,0.0,0.0
3,touchback,long,26,7.160000000000001,0.27538461538461545
3,touchback,medium,14,1.0,0.07142857142857142
3,touchback,really_long,11,4.88,0.4436363636363636
3,touchback,short,4,0.24,0.06
4,crap,really_long,2,-1.92,-0.96
4,fg,medium,2,0.0,0.0
4,goaline,short,4,8.32,2.08
4,midfield,long,1,0.0,0.0
4,midfield,medium,7,0.64,0.09142857142857143
4,midfield,really_long,1,0.0,0.0
4,midfield,short,4,0.76,0.19
4,redzone,short,1,4.64,4.64
