,,,fantasy_points,fantasy_points,fantasy_points
,,,count,std,mean
down,yardline,yards_to_go,,,
1,crap,long,42,0.511930599245,0.27619047619
1,crap,really_long,9,0.236173194452,0.204444444444
1,fg,long,37,0.210270810656,0.16972972973
1,fg,really_long,1,,0.0
1,goaline,long,5,0.104307238483,0.104
1,goaline,medium,8,0.0370328039909,4.2
1,goaline,short,7,1.55476533216,0.594285714286
1,midfield,long,211,0.996131356791,0.285876777251
1,midfield,medium,2,0.0848528137424,0.06
1,midfield,really_long,11,0.233113316183,0.167272727273
1,redzone,long,27,1.64524489643,0.76
1,redzone,really_long,1,,0.36
1,touchback,long,100,0.894207713198,0.2508
1,touchback,medium,1,,0.4
1,touchback,really_long,4,0.707578028677,0.79
2,crap,long,16,0.306681159078,0.325
2,crap,medium,7,0.806450187403,-0.194285714286
2,crap,really_long,15,0.379533548301,0.448
2,crap,short,6,1.29655954999,0.146666666667
2,fg,long,17,1.31722971332,0.322352941176
2,fg,medium,6,0.208102538828,0.186666666667
2,fg,really_long,10,0.363415892761,0.244
2,fg,short,6,0.141797978359,0.0866666666667
2,goaline,long,9,2.24862427077,1.95111111111
2,goaline,medium,5,1.89850467474,3.392
2,goaline,short,6,1.71464281995,0.7
2,midfield,long,107,0.857701323639,0.321121495327
2,midfield,medium,49,0.24928196204,0.220408163265
2,midfield,really_long,51,0.388604743999,0.129411764706
2,midfield,short,23,0.192063889238,0.146086956522
2,redzone,long,12,1.34985072126,0.576666666667
2,redzone,medium,3,0.205264057578,0.226666666667
2,redzone,really_long,3,0.300222139979,0.226666666667
2,redzone,short,1,,0.0
2,touchback,long,44,0.539638121639,0.31
2,touchback,medium,7,0.776806649964,-0.245714285714
2,touchback,really_long,12,0.534063893579,0.376666666667
2,touchback,short,3,4.01835787356,2.32
3,crap,long,10,0.542979434847,0.384
3,crap,medium,3,0.394630628985,0.266666666667
3,crap,really_long,13,0.254114853903,0.209230769231
3,crap,short,5,0.0963327566303,0.104
3,fg,long,10,0.248587118644,0.152
3,fg,medium,12,1.46983816879,0.643333333333
3,fg,really_long,7,0.266333124739,0.12
3,fg,short,6,0.874528444363,-0.24
3,goaline,long,6,2.3314773571,2.20666666667
3,goaline,medium,9,2.11692649324,1.40444444444
3,goaline,short,8,1.86332268504,1.105
3,midfield,long,55,1.63622691535,0.552
3,midfield,medium,58,0.29318453026,0.22275862069
3,midfield,really_long,40,0.424277364529,0.273
3,midfield,short,35,0.452111386588,0.088
3,redzone,long,7,1.62100497928,0.857142857143
3,redzone,medium,3,0.260256283946,0.253333333333
3,redzone,really_long,4,2.28,1.14
3,redzone,short,2,0.0,0.0
3,touchback,long,26,0.615670241407,0.275384615385
3,touchback,medium,14,0.653921391922,0.0714285714286
3,touchback,really_long,11,0.73265643691,0.443636363636
3,touchback,short,4,0.12,0.06
4,crap,really_long,2,1.47078210487,-0.96
4,fg,medium,2,0.0,0.0
4,goaline,short,4,2.40199916736,2.08
4,midfield,long,1,,0.0
4,midfield,medium,7,0.194201662491,0.0914285714286
4,midfield,really_long,1,,0.0
4,midfield,short,4,0.143759057686,0.19
4,redzone,short,1,,4.64
